[Point];[Position];[Force];[Time]
424;44.75;998.7246;T#0ms
425;44.76;997.3483;T#0ms
426;44.77;997.3605;T#0ms
427;44.78;997.3849;T#0ms
428;44.79;995.0894;T#0ms
429;44.8;996.2249;T#0ms
430;44.81;995.3485;T#0ms
431;44.82;996.6958;T#0ms
432;44.83;998.2321;T#0ms
433;44.84;997.8939;T#0ms
434;44.85;999.0613;T#0ms
435;44.86;998.0981;T#0ms
436;44.87;998.0158;T#0ms
437;44.88;999.659;T#0ms
438;44.89;1000.4576;T#0ms
439;44.9;1002.1160000000001;T#0ms
440;44.91;1001.9025;T#0ms
441;44.92;1002.0184;T#0ms
442;44.93;1002.7026;T#0ms
443;44.94;1002.5791;T#0ms
444;44.95;1004.4860000000001;T#0ms
445;44.96;1004.207;T#0ms
446;44.97;1002.0168;T#0ms
447;44.98;1001.0124;T#0ms
448;44.99;998.9578;T#0ms
449;45.0;998.2521;T#0ms
450;45.01;999.1955;T#0ms
451;45.02;1000.1725;T#0ms
452;45.03;999.9453;T#0ms
453;45.04;1001.8643;T#0ms
454;45.05;1002.1036;T#0ms
455;45.06;1000.5124;T#0ms
456;45.07;1001.9818;T#0ms
457;45.08;1002.0977;T#0ms
458;45.09;1002.195;T#0ms
459;45.1;1004.6993;T#0ms
460;45.11;1005.2494;T#0ms
461;45.12;1004.4782;T#0ms
462;45.13;1006.1214;T#0ms
463;45.14;1008.0297;T#0ms
464;45.15;1008.9442;T#0ms
465;45.16;1010.0035;T#0ms
466;45.17;1010.3037;T#0ms
467;45.18;1010.2092;T#0ms
468;45.19;1008.2369;T#0ms
469;45.2;1007.2797;T#0ms
470;45.21;1007.0999;T#0ms
471;45.22;1006.7615;T#0ms
472;45.23;1006.7311;T#0ms
473;45.24;1007.6562;T#0ms
474;45.25;1007.0419999999999;T#0ms
475;45.26;1007.1274;T#0ms
476;45.27;1007.5298;T#0ms
477;45.28;1007.735;T#0ms
478;45.29;1007.4689;T#0ms
479;45.3;1008.2508;T#0ms
480;45.31;1008.6882;T#0ms
481;45.32;1009.2917;T#0ms
482;45.33;1010.5752;T#0ms
483;45.34;1010.9622;T#0ms
484;45.35;1010.1331;T#0ms
485;45.36;1010.1574;T#0ms
486;45.37;1010.3007;T#0ms
487;45.38;1010.5721;T#0ms
488;45.39;1011.1878;T#0ms
489;45.4;1010.9789999999999;T#0ms
490;45.41;1011.4438;T#0ms
491;45.42;1011.5658;T#0ms
492;45.43;1012.4925;T#0ms
493;45.44;1012.0961;T#0ms
494;45.45;1012.4039;T#0ms
495;45.46;1014.748;T#0ms
496;45.47;1014.5073;T#0ms
497;45.48;1015.9064;T#0ms
498;45.49;1016.5039999999999;T#0ms
499;45.5;1015.8152;T#0ms
500;45.51;1015.5349;T#0ms
501;45.52;1016.1461;T#0ms
502;45.53;1015.8397;T#0ms
503;45.54;1014.698;T#0ms
504;45.55;1015.9313;T#0ms
505;45.56;1016.2360000000001;T#0ms
506;45.57;1016.8191;T#0ms
